AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia
BRY	Samuels Field	Bardstown, Kentucky, United States
BRZ	Borotou Airport	Borotou, Côte d'Ivoire
BSA	Bender Qassim International Airport	Boosaaso, Somalia
BSB	Presidente Juscelino Kubitschek International Airport	Brasília, Distrito Federal, Brazil
BSC	José Celestino Mutis Airport	Bahía Solano, Colombia
BSD	Baoshan Airport	Baoshan, Yunnan, People's Republic of China
BSE	Sematan Airport	Sematan, Sarawak, Malaysia
BSF	Bradshaw Army Airfield	Camp Pohakuloa, Hawaii, United States
BSG	Bata Airport	Bata, Equatorial Guinea
BSJ	Bairnsdale Airport	Bairnsdale, Victoria, Australia
BSK	Biskra Airport	Biskra, Algeria
BSL	EuroAirport Basel-Mulhouse-Freiburg	Basel, Switzerland
BSN	Bossangoa Airport	Bossangoa, Central African Republic
BSO	Basco Airport	Basco, Batanes, Philippines
BSP	Bensbach Airport	Bensbach, Papua New Guinea
BSQ	Bisbee Municipal Airport (FAA: P04)	Bisbee, Arizona, United States
BSR	Basrah International Airport	Basrah, Iraq
BSS	Balsas Airport	Balsas, Maranhão, Brazil
BST	Bost Airport	Lashkar Gah (Bost), Afghanistan
BSU	Basankusu Airport	Basankusu, Democratic Republic of the Congo
BSW	Boswell Bay Airport (FAA: AK97)	Boswell Bay, Alaska, United States
BSX	Bassein Airport	Bassein, Myanmar (Burma)
BSY	Bardera Airport	Bardera, Somalia
BTA	Bertoua Airport	Bertoua, Cameroon
BTB	Betou Airport	Betou, Republic of Congo
BTC	Batticaloa Airport	Batticaloa, Sri Lanka
BTD	Brunette Downs Airport	Brunette Downs, Northern Territory, Australia
BTE	Sherbro International Airport	Bonthe, Sierra Leone
BTF	Skypark Airport	Bountiful, Utah, United States
BTG	Batangafo Airport	Batangafo, Central African Republic
BTH	Hang Nadim Airport	Batam, Riau Islands, Sumatra, Indonesia
BTI	Barter Island LRRS Airport	Barter Island, Alaska, United States
BTJ	Sultan Iskandarmuda Airport	Banda Aceh, Indonesia
BTK	Bratsk Airport	Bratsk, Irkutsk Oblast, Russia
BTL	W. K. Kellogg Airport	Battle Creek, Michigan, United States
BTM	Bert Mooney Airport	Butte, Montana, United States
BTN	Marlboro County Jetport (FAA: BBP)	Bennettsville, South Carolina, United States
BTO	Botopasi Airport	Botopasi, Suriname
BTP	Butler County Airport (K.W. Scholter Field)	Butler, Pennsylvania, United States
BTQ	Butare Airport	Butare, Rwanda
BTR	Baton Rouge Metropolitan Airport (Ryan Field)	Baton Rouge, Louisiana, United States
BTS	M. R. Štefánik Airport	Bratislava, Slovakia
BTT	Bettles Airport	Bettles, Alaska, United States
BTU	Bintulu Airport	Bintulu, Malaysia
BTV	Burlington International Airport	Burlington, Vermont, United States
BTW	Batu Licin Airport	Batu Licin, Kalimantan, Indonesia
BTX	Betoota Airport	Betoota, Queensland, Australia
BTY	Beatty Airport	Beatty, Nevada, United States
BTZ	Bursa Airport	Bursa, Turkey
BUA	Buka Island Airport	Buka Island, Papua New Guinea
BUB	Cram Field	Burwell, Nebraska, United States
BUC	Burketown Airport	Burketown, Queensland, Australia
BUD	Budapest Ferihegy International Airport	Budapest, Hungary
BUE	All Airports	Buenos Aires, Argentina
BUF	Buffalo Niagara International Airport	Buffalo, New York, United States
BUG	Benguela Airport (Gen. V. Deslandes Airport)	Benguela, Angola
BUH	All Airports	Bucharest, Romania
BUI	Bokondini Airport	Bokondini, Indonesia
BUJ	Ain Eddis Airport	Bou Saada, M'Sila, Algeria
BUK	Albuq Airport	Albuq, Yemen
BUL	Bulolo Airport	Bulolo, Papua New Guinea
BUM	Butler Memorial Airport	Butler, Missouri, United States
BUN	Gerardo Tobar López Airport	Buenaventura, Valle del Cauca, Colombia
BUO	Burao Airport	Burao, Somalia
BUP	Bhisiana Air Force Base	Bhatinda, India
BUQ	Joshua Mqabuko Nkomo International Airport	Bulawayo, Zimbabwe
BUR	Bob Hope Airport	Burbank, California, United States
BUS	Batumi Airport (Chorokh Airport)	Batumi, Georgia
BUT	Burtonwood Airport (former RAF Burtonwood)	Burtonwood, England, United Kingdom
BUU	Buyo Airport	Buyo, Côte d'Ivoire
BUV	Bella Unión Airport	Bella Unión, Artigas, Uruguay
BUW	Baubau Airport (Betoambari Airport)	Bau-Bau, Buton, Indonesia
BUX	Bunia Airport	Bunia, Ituri, Democratic Republic of the Congo
BUY	Bunbury Airport	Bunbury, Western Australia, Australia
BUZ	Bushehr Airport	Bushehr, Iran
BVA	Paris Beauvais Tillé Airport	Beauvais, France
BVB	Boa Vista International Airport	Boa Vista, Roraima, Brazil
BVC	Rabil Airport	Boa Vista, Cape Verde
BVE	Brive - La Roche Airport	Brive-la-Gaillarde, France
BVF	Dama Airport	Bua, Fiji
BVG	Berlevåg Airport	Berlevåg, Norway
BVH	Vilhena Airport	Vilhena, Rondônia, Brazil
BVI	Birdsville Airport	Birdsville, Queensland, Australia
BVK	Huacaraje Airport	Huacaraje, Bolivia
BVL	Baures Airport	Baures, Bolivia
BVM	Belmonte Airport	Belmonte, Bahia, Brazil
BVO	Bartlesville Municipal Airport	Bartlesville, Oklahoma, United States
BVP	Bolovip Airport	Bolovip, Papua New Guinea
BVR	Esparadinha Airport	Esparadinha, Brava Island, Cape Verde
BVS	Breves Airport	Breves, Pará, Brazil
BVU	Beluga Airport (FAA: BLG)	Beluga, Alaska, United States
BVW	Batavia Downs Airport	Batavia Downs, Queensland, Australia
BVX	Batesville Regional Airport	Batesville, Arkansas, United States
BVY	Beverly Municipal Airport	Beverly, Massachusetts, United States
BVZ	Beverley Springs Airport	Beverley Springs, Western Australia, Australia
BWA	Bhairawa Airport	Bhairawa, Nepal
BWB	Barrow Island Airport	Barrow Island, Western Australia, Australia
BWC	Brawley Municipal Airport	Brawley, California, United States
BWD	Brownwood Regional Airport	Brownwood, Texas, United States
BWE	Braunschweig-Wolfsburg Regional Airport	Braunschweig, Lower Saxony, Germany
BWF	Barrow/Walney Island Airfield	Barrow-in-Furness, Cumbria, England, United Kingdom
BWG	Bowling Green-Warren County Regional Airport	Bowling Green, Kentucky, United States
BWH	RMAF Butterworth	Butterworth, Penang, Malaysia
BWI	Baltimore-Washington International Thurgood Marshall Airport	between Baltimore, Maryland and Washington, D.C., United States
BWJ	Bawan Airport	Bawan, Papua New Guinea
BWK	Bol Airport	Bol, Croatia
BWL	Earl Henry Airport (FAA: 6OK6)	Blackwell, Oklahoma, United States
BWM	Bowman Municipal Airport (FAA: BPP)	Bowman, North Dakota, United States
BWN	Brunei International Airport	Bandar Seri Begawan, Brunei
BWO	Balakovo Airport	Balakovo, Saratov Oblast, Russia
BWP	Bewani Airport	Bewani, Papua New Guinea
BWQ	Brewarrina Airport	Brewarrina, New South Wales, Australia
BWS	Blaine Municipal Airport (FAA: 4W6)	Blaine, Washington, United States
BWT	Wynyard Airport	Burnie, Tasmania, Australia
BWU	Bankstown Airport	Bankstown (near Sydney), New South Wales, Australia
BXA	George R. Carr Memorial Air Field	Bogalusa, Louisiana, United States
BXB	Babo Airport	Babo, Western New Guinea, Indonesia
BXD	Bade Airport	Bade, Indonesia
BXE	Bakel Airport	Bakel, Senegal
BXG	Bendigo Airport	Bendigo, Victoria, Australia
BXH	Balkhash Airport	Balkhash, Kazakhstan
BXI	Boundiali Airport	Boundiali, Côte d'Ivoire
BXJ	Almaty-Burundai Airport	Almaty, Kazakhstan
BXK	Buckeye Municipal Airport	Buckeye, Arizona, United States
BXL	Nanuya Lailai Airport	Nanuya Lailai, Fiji
BXM	Batom Airport	Batom, Indonesia
BXN	Bodrum-Imsik Airport	Bodrum, Turkey
BXO	Buochs Airport	Buochs, Switzerland
BXR	Bam Airport	Bam, Iran
BXS	Borrego Valley Airport (FAA: L08)	Borrego Springs, California, United States
BXT	Bontang Airport	Bontang, Indonesia
BXU	Butuan Airport	Butuan City, Philippines
BXV	Breiðdalsvík Airport	Breiðdalsvík, Iceland
BXX	Borama Airport	Borama, Somalia
BXZ	Bunsil Airport	Bunsil, Papua New Guinea
BYA	Boundary Airport	Boundary, Alaska, United States
BYB	Dibba Airport	Dibba, Oman
BYC	Yacuiba Airport	Yacuiba, Bolivia
BYD	Beidah Airport	Beidah, Yemen
BYG	Johnson County Airport	Buffalo, Wyoming, United States
BYH	Arkansas International Airport	Blytheville, Arkansas, United States
BYI	Burley Municipal Airport	Burley, Idaho, United States
BYK	Bouaké Airport	Bouaké, Côte d'Ivoire
BYL	Bella Yella Airport	Bella Yella, Liberia
BYM	Carlos Manuel de Céspedes Airport	Bayamo, Cuba
BYN	Bayankhongor Airport	Bayankhongor, Mongolia
BYQ	Bunyu Airport	Bunyu, Kalimantan (Borneo), Indonesia
BYR	Læsø Airport	Læsø, Denmark
BYS	Bicycle Lake Army Airfield (Fort Irwin)	Barstow, California, United States
BYT	Bantry Airport	Bantry, County Cork, Ireland
BYU	Bindlacher Berg Airport	Bayreuth, Bavaria, Germany
BYW	Blakely Island Airport (FAA: 38WA)	Blakely Island, Washington, United States
BYX	Baniyala Airport	Baniyala, Northern Territory, Australia
BZA	Bonanza Airport	Bonanza, RAAN, Nicaragua
BZB	Bazaruto Island Airport	Bazaruto Island, Mozambique
BZC	Umberto Modiano Airport	Búzios, Rio de Janeiro, Brazil
BZD	Balranald Airport	Balranald, New South Wales, Australia
BZE	Philip S. W. Goldson International Airport	Ladyville (near Belize City), Belize
BZG	Bydgoszcz Ignacy Jan Paderewski Airport	Bydgoszcz, Poland
BZI	Balıkesir Airport (Merkez Airport)	Balıkesir, Turkey
BZK	Briansk Airport	Briansk (Bryansk), Russia
BZL	Barisal Airport	Barisal, Bangladesh
BZN	Gallatin Field Airport	Bozeman, Montana, United States
BZO	Bolzano Airport	Bolzano, Italy
BZP	Bizant Airport	Bizant, Queensland, Australia
BZR	Béziers Vias Airport	Béziers, France
BZU	Buta Zega Airport	Buta Zega, Democratic Republic of the Congo
BZV	Maya Maya Airport	Brazzaville, Republic of the Congo
BZY	Bălţi International Airport	Bălţi, Moldova
BZZ	RAF Brize Norton	Oxfordshire, England, United Kingdom
CAA	Catacamas Airport	Catacamas, Honduras
CAB	Cabinda Airport	Cabinda, Angola
CAC	Cascavel Airport	Cascavel, Paraná, Brazil
CAD	Wexford County Airport	Cadillac, Michigan, United States
CAE	Columbia Metropolitan Airport	West Columbia (near Columbia), South Carolina, United States
CAF	Carauari Airport	Carauari, Amazonas, Brazil
CAG	Cagliari Airport	Cagliari, Italy
CAH	Ca Mau Airport	Ca Mau, Vietnam
CAI	Cairo International Airport	Cairo, Egypt
CAJ	Canaima Airport	Canaima, Venezuela
CAK	Akron-Canton Regional Airport	Akron / Canton, Ohio, United States
CAL	Campbeltown Airport (RAF Machrihanish)	Campbeltown, Scotland
CAM	Camiri Airport	Camiri, Bolivia
CAN	Guangzhou Baiyun International Airport	Guangzhou, Guangdong, People's Republic of China
CAO	Clayton Municipal Airpark	Clayton, New Mexico, United States
CAP	Cap-Haïtien International Airport	Cap-Haïtien, Haiti
CAQ	Caucasia Airport	Caucasia, Antioquia, Colombia
CAR	Caribou Municipal Airport	Caribou, Maine, United States
CAS	Anfa Airport	Casablanca, Morocco
CAT	New Bight Airport	Cat Island, Bahamas
CAU	Oscar Laranjeias Airport	Caruaru, Pernambuco, Brazil
CAV	Cazombo Airport	Cazombo, Angola
CAW	Bartolomeu Lisandro Airport	Campos dos Goitacazes, Rio de Janeiro, Brazil
CAX	Carlisle Airport	Carlisle, England, United Kingdom
CAY	Cayenne-Rochambeau Airport	Cayenne, French Guiana
CAZ	Cobar Airport	Cobar, New South Wales, Australia
CBB	Jorge Wilstermann International Airport	Cochabamba, Bolivia
CBC	Cherrabun Airport	Cherrabun, Western Australia, Australia
CBD	Car Nicobar Air Force Base	Car Nicobar, India
CBE	Greater Cumberland Regional Airport	Cumberland, Maryland, United States
CBF	Council Bluffs Municipal Airport	Council Bluffs, Iowa, United States
CBG	Cambridge Airport	Cambridge, England, United Kingdom
CBH	Boudghene Ben Ali Lotfi Airport	Béchar, Algeria
CBI	Cape Barren Island Airport	Cape Barren Island, Tasmania, Australia
CBJ	Cabo Rojo Airport	Pedernales, Dominican Republic
CBK	Colby Municipal Airport (Shalz Field)	Colby, Kansas, United States
CBL	Tomás de Heres Airport	Ciudad Bolivar, Venezuela
CBM	Columbus Air Force Base	Columbus, Mississippi, United States
CBN	Penggung Airport	Cirebon, Java, Indonesia
CBO	Awang Airport	Cotabato City, Philippines
CBP	Coimbra Airport	Coimbra, Portugal
CBQ	Calabar Airport	Calabar, Nigeria
CBR	Canberra International Airport	Canberra, Australia
CBS	Oro Negro Airport	Cabimas, Venezuela
CBT	Catumbela Airport	Catumbela, Angola
CBU	Cottbus-Drewitz Airport	Cottbus, Brandenburg, Germany
CBV	Cobán Airport	Cobán, Alta Verapaz, Guatemala
CBW	Campo Mourão Airport	Campo Mourão, Paraná, Brazil
CBX	Condobolin Airport	Condobolin, New South Wales, Australia
CBY	Canobie Airport	Canobie, Queensland, Australia
CCB	Cable Airport	Upland, California, United States
CCC	Jardines del Rey Airport	Cayo Coco, Cuba
CCD	Century City Heliport (FAA: 84CL)	Los Angeles, California, United States
CCE	L'Espérance Airport (Grand Case Airport)	Saint Martin, Guadeloupe
CCF	Carcassonne Salvaza Airport	Carcassonne, France
CCG	Crane County Airport (FAA: E13)	Crane, Texas, United States
CCH	Chile Chico Airport	Chile Chico, Aisén Region, Chile
CCI	Concordia Airport	Concordia, Amazonas, Brazil
CCJ	Calicut Airport	Kozhikode (Calicut), India
CCK	Cocos Islands Airport	Cocos Islands, Australia
CCL	Chinchilla Airport	Chinchilla, Queensland, Australia
CCM	Forquilhinha Airport	Criciúma, Santa Catarina, Brasil
CCN	Chaghcharan Airport	Chaghcharan, Afghanistan
CCO	Carimagua Airport	Puerto López, Meta, Colombia
CCP	Carriel Sur International Airport	Concepción, Biobío Region, Chile
CCQ	Cachoeira Airport	Cachoeira, Bahia, Brazil
CCR	Buchanan Field	Concord, California, United States
CCS	Simon Bolivar International Airport	Maiquetia (near Caracas), Venezuela
CCT	Colonia Catriel Airport	Colonia Catriel, Río Negro, Argentina
CCU	Netaji Subhash Chandra Bose International Airport	Dum Dum (near Kolkata), India
CCV	Craig Cove Airport	Craig Cove, Ambrym Island, Malampa, Vanuatu
CCW	Cowell Airport	Cowell, South Australia, Australia
CCX	Cáceres Airport	Cáceres, Minas Gerais, Brazil
CCY	Northeast Iowa Regional Airport	Charles City, Iowa, United States
CCZ	Chub Cay International Airport	Chub Cay, Berry Islands, Bahamas
CDA	Cooinda Airport	Cooinda, Northern Territory, Australia
CDB	Cold Bay Airport	Cold Bay, Alaska, United States
CDC	Cedar City Regional Airport	Cedar City, Utah, United States
CDD	Cauquira Airport	Cauquira, Honduras
CDE	Cape Decision Coast Guard Heliport	Cape Decision, Alaska, United States
CDF	Fiames Airport	Cortina d'Ampezzo, Italy
CDG	Charles de Gaulle International Airport (Roissy Airport)	Paris, France
CDH	Harrell Field	Camden, Arkansas, United States
CDI	Cachoeiro de Itapemirim Airport	Cachoeiro de Itapemirim, Brazil
CDJ	Conceição do Araguaia Airport	Conceição do Araguaia, Pará, Brazil
CDK	George T. Lewis Airport	Cedar Key, Florida, United States
CDL	Candle 2 Airport (FAA: AK75)	Candle, Alaska, United States
CDN	Woodward Field	Camden, South Carolina, United States
CDO	Cradock Airport	Cradock, Eastern Cape, South Africa
CDP	Cuddapah Airport	Cuddapah, India
CDQ	Croydon Airport	Croydon, Queensland, Australia
CDR	Chadron Municipal Airport	Chadron, Nebraska, United States
CDS	Childress Municipal Airport	Childress, Texas, United States
CDU	Camden Airport	Camden, New South Wales, Australia
CDV	Merle K. (Mudhole) Smith Airport	Cordova, Alaska, United States
CDW	Essex County Airport	Caldwell, New Jersey, United States
CDY	Cagayan de Tawi-Tawi Airport	Mapun, Tawi-Tawi, Philippines
CEA	Cessna Aircraft Field	Wichita, Kansas, United States
CEB	Mactan-Cebu International Airport	Lapu-Lapu City, Philippines
CEC	Jack McNamara Field	Crescent City, California, United States
CED	Ceduna Airport	Ceduna, South Australia, Australia
CEE	Cherepovets Airport	Cherepovets, Vologda Oblast, Russia
CEF	Westover ARB/Westover Metropolitan Airport	Springfield/Chicopee, Massachusetts, United States
CEG	Hawarden Airport (Chester Airport)	Chester, England, United Kingdom
CEH	Chelinda Airport	Chelinda, Malawi
CEI	Chiang Rai International Airport	Chiang Rai, Thailand
CEJ	Chernihiv Shestovitsa Airport	Chernihiv, Ukraine
CEK	Chelyabinsk Balandino Airport	Chelyabinsk, Russia
CEL	Cape Eleuthera Airport	Cape Eleuthera, Eleuthera, Bahamas
CEM	Central Airport	Central, Alaska, United States
CEN	Ciudad Obregón International Airport	Ciudad Obregón, Sonora, Mexico
CEO	Waco Kungo Airport	Waco Kungo, Angola
CEP	Concepción Airport	Concepción, Bolivia
CEQ	Cannes - Mandelieu Airport	Cannes, France
CER	Cherbourg - Maupertus Airport	Cherbourg, France
CES	Cessnock Airport	Cessnock, New South Wales, Australia
CET	Cholet Le Pontreau Airport	Cholet, France
CEU	Oconee County Regional Airport	Clemson, South Carolina, United States
CEV	Mettel Field	Connersville, Indiana, United States
CEW	Bob Sikes Airport	Crestview, Florida, United States
CEX	Chena Hot Springs Airport (FAA: AK13)	Chena Hot Springs, Alaska, United States
CEY	Murray-Calloway County Airport	Murray, Kentucky, United States
CEZ	Cortez Municipal Airport	Cortez, Colorado, United States
CFB	Cabo Frio International Airport	Cabo Frio, Rio de Janeiro, Brazil
CFD	Coulter Field	Bryan, Texas, United States
CFE	Clermont-Ferrand Auvergne Airport	Clermont-Ferrand, France
CFF	Cafunfo Airport	Cafunfo, Angola
CFG	Jaime González Airport	Cienfuegos, Cuba
CFH	Clifton Hills Airport	Clifton Hills, South Australia, Australia
CFI	Camfield Airport	Camfield, Northern Territory, Australia
CFN	Donegal Airport	Carrickfinn, Ireland
CFO	Confreza Airport	Confreza, Mato Grosso, Brazil
CFP	Carpentaria Downs Airport	Carpentaria Downs, Queensland, Australia
CFR	Caen - Carpiquet Airport	Caen, France
CFS	Coffs Harbour Airport	Coffs Harbour, New South Wales, Australia
CFT	Greenlee County Airport	Clifton/Morenci, Arizona, United States
CFU	Ioannis Kapodistrias International Airport (Corfu International Airport)	Corfu, Greece
CFV	Coffeyville Municipal Airport	Coffeyville, Kansas, United States
CGA	Craig Seaplane Base	Craig, Alaska, United States
CGB	Marechal Rondon Airport	Cuiabá, Mato Grosso, Brazil
CGC	Cape Gloucester Airport	Cape Gloucester, Papua New Guinea
CGD	Changde Airport	Changde, Hunan, China
CGE	Cambridge-Dorchester Airport	Cambridge, Maryland, United States
CGF	Cuyahoga County Airport	Cleveland, Ohio, United States
CGG	Casiguran Airport	Casiguran, Aurora, Philippines
CGH	Congonhas/São Paulo International Airport	São Paulo, Brazil
CGI	Cape Girardeau Regional Airport	Cape Girardeau, Missouri, United States
CGJ	Chingola Airport	Chingola, Zambia
CGK	Soekarno-Hatta International Airport	Jakarta, Indonesia
CGM	Camiguin Airport	Mambajao, Camiguin, Philippines
CGN	Cologne Bonn Airport (Köln/Bonn - Konrad Adenauer)	Cologne, North Rhine-Westphalia, Germany
CGO	Zhengzhou Xinzheng International Airport	Zhengzhou, Henan, China
CGP	Shah Amanat International Airport	Chittagong, Bangladesh
CGQ	Changchun Longjia International Airport	Changchun, Jilin, China
CGR	Campo Grande International Airport	Campo Grande, Mato Grosso do Sul, Brazil
CGS	College Park Airport	College Park, Maryland, United States
CGT	Chinguitti Airport	Chinguitti, Mauritania
CGU	General Manuel Carlos Piar Airport	Ciudad Guayana, Venezuela
CGV	Caiguna Airport	Caiguna, Western Australia, Australia
CGY	Lumbia Airport	Cagayan de Oro City, Philippines
CGZ	Casa Grande Municipal Airport	Casa Grande, Arizona, United States
CHA	Chattanooga Metropolitan Airport (Lovell Field)	Chattanooga, Tennessee, United States
CHB	Chilas Airport	Chilas, Pakistan
CHC	Christchurch International Airport	Christchurch, New Zealand
CHE	Reenroe Airport	Caherciveen, County Kerry, Republic of Ireland
CHE	Chkalovsky Airport	Shchyolkovo (Moscow Oblast), Russia
CHF	Chinhae Airport	Chinhae, South Korea
CHG	Chaoyang Airport	Chaoyang, China
CHH	Chachapoyas Airport	Chachapoyas, Peru
CHI	All Airports	Chicago, Illinois, United States
CHJ	Chipinge Airport	Chipinge, Zimbabwe
CHK	Chickasha Municipal Airport	Chickasha, Oklahoma, United States
CHL	Challis Airport (FAA: LLJ)	Challis, Idaho, United States
CHM	Tnte. FAP Jaime Montreuil Morales Airport	Chimbote, Ancash Region, Peru
CHN	Chonju Airport	Chonju, South Korea
CHO	Charlottesville-Albemarle Airport	Charlottesville, Virginia, United States
CHP	Circle Hot Springs Airport	Circle Hot Springs, Alaska, United States
CHQ	Chania International Airport ('Ioannis Daskalogiannis')	Chania, Greece
CHR	Châteauroux-Déols 'Marcel Dassault' Airport	Châteauroux / Déols, France
CHS	Charleston International Airport / Charleston AFB	Charleston, South Carolina, United States
CHT	Chatham Islands / Tuuta Airport	Waitangi, Chatham Islands, New Zealand
CHU	Chuathbaluk Airport (FAA: 9A3)	Chuathbaluk, Alaska, United States
CHV	Chaves Airport	Chaves, Portugal
CHW	Jiuquan Airport	Jiuquan, Gansu, China
CHX	Captain Manuel Niño International Airport	Changuinola, Bocas del Toro, Panama
CHY	Choiseul Bay Airport	Choiseul Bay, Taro Island, Solomon Islands
CHZ	Chiloquin State Airport (FAA: 2S7)	Chiloquin, Oregon, United States
CIA	Rome Ciampino Airport (Giovan Battista Pastine Airport)	Rome, Italy
CIB	Catalina Airport (FAA: AVX)	Avalon, California, United States
CIC	Chico Municipal Airport	Chico, California, United States
CID	The Eastern Iowa Airport	Cedar Rapids, Iowa, United States
CIE	Collie Airport	Collie, Western Australia, Australia
CIF	Chifeng Airport	Chifeng, Inner Mongolia, China
CIG	Craig-Moffat Airport (FAA: CAG)	Craig, Colorado, United States
CIH	Changzhi Airport	Changzhi, Shanxi, China
CIJ	Capitan Anibal Arab Airport	Cobija, Bolivia
CIK	Chalkyitsik Airport	Chalkyitsik, Alaska, United States
CIL	Council Airport (FAA: K29)	Council, Alaska, United States
CIM	Cimitarra Airport	Cimitarra, Colombia
CIN	Arthur N. Neu Airport	Carroll, Iowa, United States
CIO	Teniente Coronel Carmelo Peralta Airport	Concepcion, Paraguay
CIP	Chipata Airport	Chipata, Zambia
CIQ	Chiquimula Airport	Chiquimula, Chiquimula, Guatemala
CIR	Cairo Regional Airport	Cairo, Illinois, United States
CIS	Canton Island Airport	Canton Island, Kiribati
CIT	Shymkent Airport	Shymkent, Kazakhstan
CIU	Chippewa County International Airport	Sault Ste Marie, Michigan, United States
CIW	Canouan Island Airport	Canouan Island, Saint Vincent and the Grenadines
CIX	Capitán FAP José A. Quiñones Gonzales International Airport	Chiclayo, Peru
CIY	Comiso Airport	Comiso, Italy
CIZ	Coari Airport	Coari, Amazonas, Brazil
CJA	Major General FAP Armando Revoredo Iglesias Airport	Cajamarca, Perú
CJB	Coimbatore Airport (Peelamedu Airport)	Coimbatore, India
CJC	El Loa Airport	Calama, Antofagasta Region, Chile
CJD	Candilejas Airport	Candilejas, Colombia
CJH	Chilko Lake (Tsylos Park Lodge) Airport (TC: CAG3)	Chilko Lake, British Columbia, Canada
CJJ	Cheong Ju International Airport	Cheong ju, South Korea
CJL	Chitral Airport	Chitral, Pakistan
CJM	Chumphon Airport	Chumphon, Thailand
CJS	Abraham González International Airport	Ciudad Juárez, Chihuahua, Mexico
CJT	Copalar Airport	Comitán, Chiapas, Mexico
CJU	Jeju International Airport	Jeju, South Korea
CKA	Kegelman Air Force Auxiliary Field	Cherokee, Oklahoma, United States
CKB	North Central West Virginia Airport	Clarksburg, West Virginia, United States
CKC	Cherkassy Airport	Cherkassy, Ukraine
CKD	Crooked Creek Airport (FAA: CJX)	Crooked Creek, Alaska, United States
CKE	Ferndale Resort Seaplane Base (FAA: CN20)	Kelseyville, California, United States
CKF	Crisp County-Cordele Airport	Cordele, Georgia, United States
CKG	Chongqing Jiangbei International Airport	Chongqing, China
CKH	Chokurdah Airport	Chokurdah, Russia
CKI	Croker Island Airport	Croker Island, Northern Territory, Australia
CKM	Fletcher Field	Clarksdale, Mississippi, United States
CKN	Crookston Municipal Airport (Kirkwood Field)	Crookston, Minnesota, United States
CKO	Cornelio Procopio Airport	Cornelio Procopio, Paraná, Brazil
CKS	Carajas Airport	Carajás, Pará, Brazil
CKT	Sarakhs Airport	Sarakhs, Iran
CKU	Cordova Municipal Airport	Cordova, Alaska, United States
CKV	Outlaw Field	Clarksville, Tennessee, United States
CKX	Chicken Airport	Chicken, Alaska, United States
CKY	Gbessia Airport	Conakry, Guinea
CKZ	Çanakkale Airport	Çanakkale, Turkey
CLA	Comilla Airport	Comilla, Bangladesh
CLB	Castlebar Airport	Castlebar, County Mayo, Ireland
CLD	McClellan-Palomar Airport (FAA: CRQ)	Carlsbad, California, United States
CLE	Cleveland Hopkins International Airport	Cleveland, Ohio, United States
CLF	Clear Sky Lodge Airport	Clear, Alaska, United States
CLG	New Coalinga Municipal Airport (FAA: C80)	Coalinga, California, United States
CLH	Coolah Airport	Coolah, New South Wales, Australia
CLI	Clintonville Municipal Airport	Clintonville, Wisconsin, United States
CLJ	Cluj-Napoca International Airport	Cluj-Napoca, Romania
CLK	Clinton Regional Airport	Clinton, Oklahoma, United States
CLL	Easterwood Airport (Easterwood Field)	College Station, Texas, United States
CLM	William R. Fairchild International Airport	Port Angeles, Washington, United States
CLN	Carolina Airport	Carolina, Maranhão, Brazil
CLO	Alfonso Bonilla Aragón International Airport	Cali, Colombia
CLP	Clarks Point Airport	Clarks Point, Alaska, United States
CLQ	Licenciado Miguel de la Madrid Airport	Colima, Colima, Mexico
CLR	Cliff Hatfield Memorial Airport	Calipatria, California, United States
CLS	Chehalis-Centralia Airport	Chehalis, Washington, United States
CLT	Charlotte/Douglas International Airport	Charlotte, North Carolina, United States
CLU	Columbus Municipal Airport (FAA: BAK)	Columbus, Indiana, United States
CLV	Caldas Novas Airport	Caldas Novas, Goiás, Brazil
CLW	Clearwater Air Park	Clearwater, Florida, United States
CLX	Clorinda Airport	Clorinda, Formosa, Argentina
CLY	Calvi - Sainte-Catherine Airport	Calvi, Corsica, France
CLZ	Calabozo Airport	Calabozo, Venezuela
CMA	Cunnamulla Airport	Cunnamulla, Queensland, Australia
CMB	Bandaranaike International Airport	Colombo, Sri Lanka
CMC	Camocim Airport	Camocim, Ceará, Brazil
CMD	Cootamundra Airport	Cootamundra, New South Wales, Australia
CME	Ciudad del Carmen International Airport	Ciudad del Carmen, Campeche, Mexico
CMF	Chambéry-Savoie Airport	Chambéry, France
CMG	Corumbá International Airport	Corumbá, Mato Grosso do Sul, Brazil
CMH	Port Columbus International Airport	Columbus, Ohio, United States
CMI	University of Illinois Willard Airport	Champaign-Urbana, Illinois, United States
CMJ	Cimei Airport	Cimei, Taiwan
CMK	Club Makokola Airport	Club Makokola, Malawi
CML	Camooweal Airport	Camooweal, Queensland, Australia
CMM	Carmelita Airport	Carmelita, El Petén, Guatemala
CMN	Mohammed V International Airport	Casablanca, Morocco
CMO	Obbia Airport	Obbia, Somalia
CMP	Campo Alegre Airport	Santana do Araguaia, Pará, Brazil
CMQ	Clermont Airport	Clermont, Queensland, Australia
CMR	Colmar - Houssen Airport	Colmar / Houssen, France
CMS	Scusciuban Airport	Scusciuban, Somalia
CMT	Cameta Airport	Cameta, Pará, Brazil
CMU	Chimbu Airport	Kundiawa, Papua New Guinea
CMV	Coromandel Airport	Coromandel, New Zealand
CMW	Camagüey-Ignacio Agramonte Airport	Camaguey, Cuba
CMX	Houghton County Memorial Airport	Hancock, Michigan, United States
